L4 | Wed Apr 25 16:27:41 2018 (683 ms) | general | exiting: Deleting sceneHandler
L4 | Sun Apr 29 15:23:42 2018 (701 ms) | general | The following frame rates are considered possible:
L4 | Sun Apr 29 15:23:42 2018 (701 ms) | general | 30 fps
L4 | Sun Apr 29 15:23:42 2018 (701 ms) | general | 60 fps
L4 | Sun Apr 29 15:23:42 2018 (701 ms) | general | 120 fps
L4 | Sun Apr 29 15:23:42 2018 (701 ms) | general | 144 fps
L4 | Sun Apr 29 15:23:42 2018 (707 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sun Apr 29 15:23:42 2018 (707 ms) | general | All resolutions available
L4 | Sun Apr 29 15:23:42 2018 (957 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Sun Apr 29 15:23:43 2018 (351 ms) | general | Recording game into file recordedGames/recordedGame00024.txt
L4 | Sun Apr 29 15:25:49 2018 (165 ms) | general | exiting...

L4 | Sun Apr 29 15:25:49 2018 (166 ms) | general | exiting: Deleting sceneHandler

L4 | Sun Apr 29 15:25:49 2018 (166 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sun Apr 29 15:25:49 2018 (198 ms) | general | Freeing sound sprites

L4 | Sun Apr 29 15:25:49 2018 (198 ms) | general | exiting: freeing frameDrawer

L4 | Sun Apr 29 15:25:49 2018 (408 ms) | general | exiting: Deleting screen

L4 | Sun Apr 29 15:25:49 2018 (408 ms) | general | exiting: freeing drawString

L4 | Sun Apr 29 15:25:49 2018 (415 ms) | general | exiting: calling SDL_Quit()

L4 | Sun Apr 29 15:25:49 2018 (436 ms) | general | exiting: Done.

L4 | Sun Apr 29 15:28:57 2018 (928 ms) | general | New game starting up
L4 | Sun Apr 29 15:28:57 2018 (929 ms) | general | Target game image size:  1280x720

L4 | Sun Apr 29 15:28:57 2018 (931 ms) | general | Ideal window dimensions:  1280x720

L4 | Sun Apr 29 15:28:57 2018 (932 ms) | general | Trying to start in window mode.
L4 | Sun Apr 29 15:28:57 2018 (932 ms) | general | Want to use largest window that fits on screen.
L4 | Sun Apr 29 15:28:57 2018 (933 ms) | general | Largest-window mode would offer a <25width increase, using requested window size instead.
L4 | Sun Apr 29 15:28:57 2018 (933 ms) | general | Screen dimensions for largest-window mode:  1280x720

L4 | Sun Apr 29 15:28:57 2018 (934 ms) | general | The following frame rates are considered possible:
L4 | Sun Apr 29 15:28:57 2018 (934 ms) | general | 30 fps
L4 | Sun Apr 29 15:28:57 2018 (934 ms) | general | 60 fps
L4 | Sun Apr 29 15:28:57 2018 (934 ms) | general | 120 fps
L4 | Sun Apr 29 15:28:57 2018 (934 ms) | general | 144 fps
L4 | Sun Apr 29 15:28:57 2018 (944 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sun Apr 29 15:28:57 2018 (944 ms) | general | All resolutions available
L4 | Sun Apr 29 15:28:58 2018 (280 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Sun Apr 29 15:28:58 2018 (660 ms) | general | Recording game into file recordedGames/recordedGame00025.txt
L4 | Sun Apr 29 15:29:41 2018 (928 ms) | general | exiting...

L4 | Sun Apr 29 15:29:41 2018 (936 ms) | general | exiting: Deleting sceneHandler

L4 | Sun Apr 29 15:29:41 2018 (937 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sun Apr 29 15:29:41 2018 (971 ms) | general | Freeing sound sprites

L4 | Sun Apr 29 15:29:41 2018 (972 ms) | general | exiting: freeing frameDrawer

L4 | Sun Apr 29 15:29:42 2018 (176 ms) | general | exiting: Deleting screen

L4 | Sun Apr 29 15:29:42 2018 (176 ms) | general | exiting: freeing drawString

L4 | Sun Apr 29 15:29:42 2018 (181 ms) | general | exiting: calling SDL_Quit()

L4 | Sun Apr 29 15:29:42 2018 (219 ms) | general | exiting: Done.

